animal,EBV_NINT1,EBV_MTPN1,EBV_MUNY1,EBV_NINT2+,EBV_MTPN2+,EBV_MUNY2+,Reliability_NINT1, Reliability_MTPN1, Reliability_MUNY1, Reliability_NINT2+, Reliability_MTPN2+, Reliability_MUNY2+
1,0.00410331,-0.00026503,-0.15928891,0.01390117,0.00038183,-0.2861121,0.41419764,0.3680766,0.39109547,0.39062004,0.3516837,0.37185528
2,-0.0095359,-0.00365675,-0.05073375,-0.0153086,-0.00845796,-0.16419262,0.45221485,0.35339343,0.39032071,0.47244445,0.40184089,0.42054924
3,-0.01082912,0.00212966,0.13798073,-0.00785558,-0.00305243,-0.09397057,0.50941277,0.42062646,0.45975202,0.51726834,0.45027313,0.47180116
4,0.00322179,0.00495765,0.00922659,0.0040655,0.00440837,-0.05659523,0.48839185,0.38953967,0.43927788,0.48908885,0.41488299,0.44662034
5,0.0095086,2.037e-05,-0.17268356,0.01126022,0.00170033,-0.20181338,0.40808243,0.34931562,0.37829002,0.38493177,0.33634308,0.36043177
6,0.00612593,0.00226296,-0.10173706,0.00274995,0.00200686,-0.12661916,0.30176955,0.2157873,0.26652707,0.25909845,0.19595057,0.24123684
7,0.0068857,0.00482453,0.22640286,0.01677449,0.00576942,0.20382586,0.32222442,0.28499818,0.3050826,0.30930884,0.27734222,0.29375691
8,0.00062341,-0.00376424,0.16765715,-0.00060566,-0.00234427,0.38447154,0.52271757,0.46554309,0.49110971,0.51583221,0.46977512,0.4864612
9,0.00977295,-0.00381854,-0.16707874,0.00553648,-0.00255688,-0.05223125,0.49898507,0.44570249,0.47364722,0.49070363,0.44727376,0.46742703
10,0.00430015,0.00485026,0.11854194,0.00703826,0.00402971,0.05093011,0.35870117,0.28817048,0.31242601,0.37992215,0.331178,0.33836263
11,0.00494251,0.00544013,0.17907493,0.01004339,0.00599641,0.19199569,0.19293938,0.14809186,0.15912342,0.20283572,0.17005544,0.17248011
12,-0.00512471,-0.00071008,0.18479653,-0.0066613,-0.00165574,0.26746627,0.33926224,0.28362285,0.31175514,0.31928973,0.27588179,0.29835045
13,-0.00816596,-0.00468434,0.16755062,-0.00966659,-0.00464391,0.32081385,0.42463051,0.35065996,0.37648612,0.43655076,0.38153388,0.3934154
14,-0.01443755,-0.00452245,-0.09229289,-0.016522,-0.00699332,-0.14664015,0.46367388,0.35088254,0.38683257,0.49365252,0.41439337,0.42757751
